Block,Time,Scheduled MW,Source Revision,Source File,Arrival Time IST,Effective Time IST,Effective Block
55,13:30,2.08,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-12-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-12-05+0530.csv,2026-08-07T12:01:21+05:30,2026-08-07T13:31:21+05:30,55
56,13:45,1.91,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-12-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-12-05+0530.csv,2026-08-07T12:01:21+05:30,2026-08-07T13:31:21+05:30,55
57,14:00,1.51,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-12-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-12-35+0530.csv,2026-08-07T12:31:30+05:30,2026-08-07T14:01:30+05:30,57
58,14:15,1.38,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-12-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-12-35+0530.csv,2026-08-07T12:31:30+05:30,2026-08-07T14:01:30+05:30,57
59,14:30,1.81,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-13-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-13-05+0530.csv,2026-08-07T13:01:20+05:30,2026-08-07T14:31:20+05:30,59
60,14:45,1.67,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-13-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-13-05+0530.csv,2026-08-07T13:01:20+05:30,2026-08-07T14:31:20+05:30,59
61,15:00,1.46,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-13-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-13-35+0530.csv,2026-08-07T13:31:31+05:30,2026-08-07T15:01:31+05:30,61
62,15:15,1.34,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-13-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-13-35+0530.csv,2026-08-07T13:31:31+05:30,2026-08-07T15:01:31+05:30,61
63,15:30,1.43,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-14-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-14-05+0530.csv,2026-08-07T14:01:24+05:30,2026-08-07T15:31:24+05:30,63
64,15:45,1.34,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-14-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-14-05+0530.csv,2026-08-07T14:01:24+05:30,2026-08-07T15:31:24+05:30,63
65,16:00,1.05,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-14-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-14-35+0530.csv,2026-08-07T14:31:30+05:30,2026-08-07T16:01:30+05:30,65
66,16:15,0.97,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-14-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-14-35+0530.csv,2026-08-07T14:31:30+05:30,2026-08-07T16:01:30+05:30,65
67,16:30,0.76,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-15-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-15-05+0530.csv,2026-08-07T15:01:22+05:30,2026-08-07T16:31:22+05:30,67
68,16:45,0.68,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-15-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-15-05+0530.csv,2026-08-07T15:01:22+05:30,2026-08-07T16:31:22+05:30,67
69,17:00,0.57,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-15-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-15-35+0530.csv,2026-08-07T15:31:29+05:30,2026-08-07T17:01:29+05:30,69
70,17:15,0.49,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-15-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-15-35+0530.csv,2026-08-07T15:31:29+05:30,2026-08-07T17:01:29+05:30,69
71,17:30,0.37,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-16-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-16-05+0530.csv,2026-08-07T16:01:21+05:30,2026-08-07T17:31:21+05:30,71
72,17:45,0.29,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-16-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-16-05+0530.csv,2026-08-07T16:01:21+05:30,2026-08-07T17:31:21+05:30,71
73,18:00,0.2,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-16-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-16-35+0530.csv,2026-08-07T16:31:29+05:30,2026-08-07T18:01:29+05:30,73
74,18:15,0.14,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-16-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-16-35+0530.csv,2026-08-07T16:31:29+05:30,2026-08-07T18:01:29+05:30,73
75,18:30,0.06,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-17-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-17-05+0530.csv,2026-08-07T17:01:21+05:30,2026-08-07T18:31:21+05:30,75
76,18:45,0.01,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-17-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-17-05+0530.csv,2026-08-07T17:01:21+05:30,2026-08-07T18:31:21+05:30,75
77,19:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-17-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-17-35+0530.csv,2026-08-07T17:31:27+05:30,2026-08-07T19:01:27+05:30,77
78,19:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-17-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-17-35+0530.csv,2026-08-07T17:31:27+05:30,2026-08-07T19:01:27+05:30,77
79,19:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-18-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-18-05+0530.csv,2026-08-07T18:01:21+05:30,2026-08-07T19:31:21+05:30,79
80,19:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-18-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-18-05+0530.csv,2026-08-07T18:01:21+05:30,2026-08-07T19:31:21+05:30,79
81,20:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-18-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-18-35+0530.csv,2026-08-07T18:31:26+05:30,2026-08-07T20:01:26+05:30,81
82,20:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-18-35+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-18-35+0530.csv,2026-08-07T18:31:26+05:30,2026-08-07T20:01:26+05:30,81
83,20:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
84,20:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
85,21:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
86,21:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
87,21:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
88,21:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
89,22:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
90,22:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
91,22:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
92,22:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
93,23:00,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
94,23:15,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
95,23:30,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
96,23:45,0.0,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,vedanjay_SIRMOUR_IntradayCERC_2026-08-07-19-05+0530.csv,2026-08-07T19:01:20+05:30,2026-08-07T20:31:20+05:30,83
