Block,Time,Scheduled MW,Source Revision,Source File,Arrival Time IST,Effective Time IST,Effective Block
38,09:15,1.93,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-07-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-07-15+0530.csv,2026-07-07T07:16:30+05:30,2026-07-07T08:01:30+05:30,33
39,09:30,1.65,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-08-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-08-45+0530.csv,2026-07-07T08:46:17+05:30,2026-07-07T09:31:17+05:30,39
40,09:45,1.76,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-08-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-08-45+0530.csv,2026-07-07T08:46:17+05:30,2026-07-07T09:31:17+05:30,39
41,10:00,1.86,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-08-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-08-45+0530.csv,2026-07-07T08:46:17+05:30,2026-07-07T09:31:17+05:30,39
42,10:15,1.98,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-08-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-08-45+0530.csv,2026-07-07T08:46:17+05:30,2026-07-07T09:31:17+05:30,39
43,10:30,2.12,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-08-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-08-45+0530.csv,2026-07-07T08:46:17+05:30,2026-07-07T09:31:17+05:30,39
44,10:45,2.27,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-08-45+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-08-45+0530.csv,2026-07-07T08:46:17+05:30,2026-07-07T09:31:17+05:30,39
45,11:00,2.75,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-10-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-10-15+0530.csv,2026-07-07T10:16:35+05:30,2026-07-07T11:01:35+05:30,45
46,11:15,2.83,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-10-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-10-15+0530.csv,2026-07-07T10:16:35+05:30,2026-07-07T11:01:35+05:30,45
47,11:30,2.9,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-10-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-10-15+0530.csv,2026-07-07T10:16:35+05:30,2026-07-07T11:01:35+05:30,45
48,11:45,2.96,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-10-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-10-15+0530.csv,2026-07-07T10:16:35+05:30,2026-07-07T11:01:35+05:30,45
49,12:00,3.01,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-10-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-10-15+0530.csv,2026-07-07T10:16:35+05:30,2026-07-07T11:01:35+05:30,45
50,12:15,3.04,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-10-15+0530.csv,vedanjay_SIRMOUR_PV_Intraday_2026-07-07-10-15+0530.csv,2026-07-07T10:16:35+05:30,2026-07-07T11:01:35+05:30,45
