timestamp,active_power_kw,ac_active_output_power_kw_lcr1:inv1,dc_power_kw_lcr1:inv1,ac_active_output_power_kw_lcr1:inv2,dc_power_kw_lcr1:inv2,ac_active_output_power_kw_mcr:inv5,dc_power_kw_mcr:inv5,ac_active_output_power_kw_lcr2:inv3,dc_power_kw_lcr2:inv3,ac_active_output_power_kw_lcr2:inv4,dc_power_kw_lcr2:inv4,mod_temp,amb_temp,poa_w_m2,ghi_w_m2,plant_cuf,temp_co_pr,is_real_measurement,hour,minute,day,month,weekday,power_lag_1,power_lag_2,rolling_mean_3,rolling_std_3,is_daylight,is_morning,is_afternoon
2026-07-15 17:00:00,2851.8,560.95,567.76,566.95,573.84,557.26,566.44,569.18,576.1,583.75,590.75,41.63,35.12,223.92,219.98,21.0,82.43,True,17,0,15,7,2,5124.21,4819.2,4265.07,1233.392413103005,1,0,1
2026-07-15 17:15:00,2449.8,481.58,487.68,490.33,496.54,487.61,495.78,488.56,494.73,503.91,510.2,38.93,35.12,185.36,183.58,21.0,84.56,True,17,15,15,7,2,2851.8,5124.21,3475.2700000000004,1442.100323382553,1,0,1
2026-07-15 17:30:00,1807.2,352.93,357.89,359.1,364.1,356.71,363.17,360.49,365.52,370.2,375.32,37.66,35.05,136.9,135.26,21.25,84.01,True,17,30,15,7,2,2449.8,2851.8,2369.6,526.897826907721,1,0,1
2026-07-15 17:45:00,1164.0,230.88,234.37,234.68,238.15,232.47,237.4,234.34,237.81,240.93,244.42,36.01,34.81,89.09,88.92,21.25,82.58,True,17,45,15,7,2,1807.2,2449.8,1807.0,642.9000233318442,1,0,1
2026-07-15 18:00:00,845.4,168.62,171.96,171.35,174.74,170.78,175.31,171.47,174.86,176.75,180.24,34.91,34.56,68.05,67.79,21.25,78.16,True,18,0,15,7,2,1164.0,1807.2,1272.2,489.94411926268947,1,0,1
2026-07-15 18:15:00,666.0,132.76,135.39,135.19,137.86,136.01,140.03,135.27,137.94,140.0,142.77,33.79,34.42,57.11,55.5,21.5,73.02,True,18,15,15,7,2,845.4,1164.0,891.8000000000001,252.22156926023828,1,0,1
2026-07-15 18:30:00,324.0,66.51,68.95,68.01,70.51,71.15,73.39,70.05,72.55,72.55,75.07,32.67,34.23,31.97,30.52,21.5,63.18,True,18,30,15,7,2,666.0,845.4,611.8000000000001,264.89190248118314,1,0,1
2026-07-15 18:45:00,103.5,23.75,24.66,23.74,24.65,27.21,28.12,25.62,26.61,27.09,28.14,31.12,33.85,11.82,11.07,21.5,54.24,True,18,45,15,7,2,324.0,666.0,364.5,283.4285624281783,0,0,1
2026-07-15 19:00:00,9.0,1.02,1.06,0.64,0.66,2.34,2.45,1.49,1.54,1.67,1.73,30.02,33.55,0.95,0.74,21.5,25.22,True,19,0,15,7,2,103.5,324.0,145.5,161.64544534290633,0,0,1
2026-07-15 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,33.13,0.09,0.08,21.5,0.0,True,19,15,15,7,2,9.0,103.5,37.5,57.33454456179001,0,0,1
